,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set,Minimally Residential,Water Area,Consumer Service N/A
60,Jackson Energy Authority,47113000100,93,49,49,49,49,52.69,52.69,52.69,52.69,True,True,True,True,{50},False,False,False
61,"BellSouth Telecommunications, Inc.",47113000100,93,37,31,21,19,39.78,33.33,22.58,20.43,True,True,False,False,"{10, 11, 50}",False,False,False
62,"Aeneas Communications, LLC",47113000100,93,12,12,12,12,12.9,12.9,12.9,12.9,False,False,False,False,"{50, 11, 42}",False,False,False
63,"Charter Communications, Inc.",47113000100,93,93,93,93,93,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
64,Jackson Energy Authority,47113000300,141,77,77,77,77,54.61,54.61,54.61,54.61,True,True,True,True,{50},False,False,False
65,"BellSouth Telecommunications, Inc.",47113000300,141,83,76,42,36,58.87,53.9,29.79,25.53,True,True,False,False,"{10, 11, 50}",False,False,False
66,"Aeneas Communications, LLC",47113000300,141,19,17,13,13,13.48,12.06,9.22,9.22,False,False,False,False,"{50, 11, 42}",False,False,False
67,"Charter Communications, Inc.",47113000300,141,141,141,141,141,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
68,Jackson Energy Authority,47113001609,112,24,24,24,24,21.43,21.43,21.43,21.43,False,False,False,False,{50},False,False,False
69,"Wisper II, LLC",47113001609,112,11,10,0,0,9.82,8.93,0.0,0.0,False,False,False,False,{70},False,False,False
70,"BellSouth Telecommunications, Inc.",47113001609,112,52,45,14,14,46.43,40.18,12.5,12.5,True,True,False,False,"{10, 11, 50}",False,False,False
71,"COMCAST CABLE COMMUNICATIONS, LLC",47113001609,112,1,1,1,1,0.89,0.89,0.89,0.89,False,False,False,False,{43},False,False,False
72,"Charter Communications, Inc.",47113001609,112,85,85,85,85,75.89,75.89,75.89,75.89,True,True,True,True,{43},False,False,False
73,Jackson Energy Authority,47113001700,91,14,14,14,14,15.38,15.38,15.38,15.38,False,False,False,False,{50},False,False,False
74,"Wisper II, LLC",47113001700,91,26,23,0,0,28.57,25.27,0.0,0.0,False,False,False,False,{70},False,False,False
75,"BellSouth Telecommunications, Inc.",47113001700,91,83,82,1,0,91.21,90.11,1.1,0.0,True,True,False,False,"{10, 11, 70}",False,False,False
76,"Aeneas Communications, LLC",47113001700,91,3,2,2,2,3.3,2.2,2.2,2.2,False,False,False,False,"{50, 30}",False,False,False
77,"Charter Communications, Inc.",47113001700,91,12,12,12,12,13.19,13.19,13.19,13.19,False,False,False,False,{43},False,False,False
78,Jackson Energy Authority,47113001401,91,48,48,48,48,52.75,52.75,52.75,52.75,True,True,True,True,{50},False,False,False
79,"BellSouth Telecommunications, Inc.",47113001401,91,39,29,9,0,42.86,31.87,9.89,0.0,True,True,False,False,"{10, 11}",False,False,False
80,"Aeneas Communications, LLC",47113001401,91,7,5,5,5,7.69,5.49,5.49,5.49,False,False,False,False,"{50, 11, 30}",False,False,False
81,"Charter Communications, Inc.",47113001401,91,90,90,90,90,98.9,98.9,98.9,98.9,True,True,True,True,{43},False,False,False
82,Jackson Energy Authority,47113001800,141,36,36,36,36,25.53,25.53,25.53,25.53,False,False,False,False,{50},False,False,False
83,"Wisper II, LLC",47113001800,141,18,16,0,0,12.77,11.35,0.0,0.0,False,False,False,False,{70},False,False,False
84,"BellSouth Telecommunications, Inc.",47113001800,141,118,116,35,28,83.69,82.27,24.82,19.86,True,True,False,False,"{10, 11, 70}",False,False,False
85,"Aeneas Communications, LLC",47113001800,141,3,3,3,3,2.13,2.13,2.13,2.13,False,False,False,False,{50},False,False,False
86,"Charter Communications, Inc.",47113001800,141,16,16,16,16,11.35,11.35,11.35,11.35,False,False,False,False,{43},False,False,False
87,Jackson Energy Authority,47113000700,96,77,77,77,77,80.21,80.21,80.21,80.21,True,True,True,True,{50},False,False,False
88,"BellSouth Telecommunications, Inc.",47113000700,96,90,89,77,5,93.75,92.71,80.21,5.21,True,True,True,False,"{10, 11, 50}",False,False,False
89,"Aeneas Communications, LLC",47113000700,96,11,8,2,2,11.46,8.33,2.08,2.08,False,False,False,False,"{50, 11}",False,False,False
90,"COMCAST CABLE COMMUNICATIONS, LLC",47113000700,96,1,1,1,1,1.04,1.04,1.04,1.04,False,False,False,False,{43},False,False,False
91,"Charter Communications, Inc.",47113000700,96,95,95,95,95,98.96,98.96,98.96,98.96,True,True,True,True,{43},False,False,False
92,Jackson Energy Authority,47113001000,45,37,37,37,37,82.22,82.22,82.22,82.22,True,True,True,True,{50},False,False,False
93,"BellSouth Telecommunications, Inc.",47113001000,45,42,29,1,0,93.33,64.44,2.22,0.0,True,True,False,False,"{10, 11}",False,False,False
94,"Aeneas Communications, LLC",47113001000,45,4,4,4,4,8.89,8.89,8.89,8.89,False,False,False,False,{50},False,False,False
95,"Charter Communications, Inc.",47113001000,45,45,45,45,45,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
96,Jackson Energy Authority,47113000800,173,91,91,91,91,52.6,52.6,52.6,52.6,True,True,True,True,{50},False,False,False
97,"Wisper II, LLC",47113000800,173,1,1,0,0,0.58,0.58,0.0,0.0,False,False,False,False,{70},False,False,False
98,"BellSouth Telecommunications, Inc.",47113000800,173,143,143,140,11,82.66,82.66,80.92,6.36,True,True,True,False,"{10, 11, 50}",False,False,False
99,Eagle One Wireless,47113000800,173,1,1,0,0,0.58,0.58,0.0,0.0,False,False,False,False,{70},False,False,False
100,"Aeneas Communications, LLC",47113000800,173,12,12,11,11,6.94,6.94,6.36,6.36,False,False,False,False,"{50, 11, 30}",False,False,False
101,"Charter Communications, Inc.",47113000800,173,173,173,173,173,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
102,Jackson Energy Authority,47113001900,154,8,8,8,8,5.19,5.19,5.19,5.19,False,False,False,False,{50},False,False,False
103,"Wisper II, LLC",47113001900,154,1,1,0,0,0.65,0.65,0.0,0.0,False,False,False,False,{70},False,False,False
104,"BellSouth Telecommunications, Inc.",47113001900,154,82,82,3,1,53.25,53.25,1.95,0.65,True,True,False,False,"{10, 11, 50, 70}",False,False,False
105,"Aeneas Communications, LLC",47113001900,154,1,0,0,0,0.65,0.0,0.0,0.0,False,False,False,False,{30},False,False,False
106,"Charter Communications, Inc.",47113001900,154,121,121,121,121,78.57,78.57,78.57,78.57,True,True,True,True,{43},False,False,False
107,Jackson Energy Authority,47113001100,85,36,36,36,36,42.35,42.35,42.35,42.35,True,True,True,True,{50},False,False,False
108,"BellSouth Telecommunications, Inc.",47113001100,85,67,59,30,0,78.82,69.41,35.29,0.0,True,True,True,False,"{10, 11}",False,False,False
109,"Aeneas Communications, LLC",47113001100,85,2,2,1,1,2.35,2.35,1.18,1.18,False,False,False,False,"{50, 11}",False,False,False
110,"Charter Communications, Inc.",47113001100,85,85,85,85,85,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
111,Jackson Energy Authority,47113001502,259,7,7,7,7,2.7,2.7,2.7,2.7,False,False,False,False,{50},False,False,False
112,"Wisper II, LLC",47113001502,259,10,10,0,0,3.86,3.86,0.0,0.0,False,False,False,False,{70},False,False,False
113,"BellSouth Telecommunications, Inc.",47113001502,259,143,137,47,8,55.21,52.9,18.15,3.09,True,True,False,False,"{10, 11, 50, 70}",False,False,False
114,"Gibson Connect, LLC",47113001502,259,23,23,23,23,8.88,8.88,8.88,8.88,False,False,False,False,{50},False,False,False
115,INFOSTRUCTURE INC,47113001502,259,27,27,27,27,10.42,10.42,10.42,10.42,False,False,False,False,{42},False,False,False
116,"Charter Communications, Inc.",47113001502,259,180,180,180,180,69.5,69.5,69.5,69.5,True,True,True,True,{43},False,False,False
117,North Central Communications,47111970300,312,2,2,2,2,0.64,0.64,0.64,0.64,False,False,False,False,{50},False,False,False
118,"North Central Telephone Cooperative, Inc.",47111970300,312,312,312,312,306,100.0,100.0,100.0,98.08,True,True,True,True,"{50, 10}",False,False,False
119,"BellSouth Telecommunications, Inc.",47111970300,312,1,1,1,0,0.32,0.32,0.32,0.0,False,False,False,False,"{10, 11, 70}",False,False,False
120,UNITED STATES CELLULAR CORPORATION,47111970300,312,143,0,0,0,45.83,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
121,"COMCAST CABLE COMMUNICATIONS, LLC",47111970300,312,177,177,177,177,56.73,56.73,56.73,56.73,True,True,True,True,{43},False,False,False
122,North Central Communications,47111970400,157,3,3,3,3,1.91,1.91,1.91,1.91,False,False,False,False,{50},False,False,False
123,"North Central Telephone Cooperative, Inc.",47111970400,157,157,156,155,127,100.0,99.36,98.73,80.89,True,True,True,True,"{50, 10}",False,False,False
124,"BellSouth Telecommunications, Inc.",47111970400,157,3,3,0,0,1.91,1.91,0.0,0.0,False,False,False,False,{70},False,False,False
125,UNITED STATES CELLULAR CORPORATION,47111970400,157,143,0,0,0,91.08,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
126,"COMCAST CABLE COMMUNICATIONS, LLC",47111970400,157,1,1,1,1,0.64,0.64,0.64,0.64,False,False,False,False,{43},False,False,False
127,North Central Communications,47159975000,221,65,65,65,65,29.41,29.41,29.41,29.41,False,False,False,False,{50},False,False,False
128,"North Central Telephone Cooperative, Inc.",47159975000,221,146,146,146,146,66.06,66.06,66.06,66.06,True,True,True,True,{50},False,False,False
129,"BellSouth Telecommunications, Inc.",47159975000,221,10,8,0,0,4.52,3.62,0.0,0.0,False,False,False,False,"{10, 11, 70}",False,False,False
130,UNITED STATES CELLULAR CORPORATION,47159975000,221,6,0,0,0,2.71,0.0,0.0,0.0,False,False,False,False,{70},False,False,False
131,Twin Lakes Telephone Cooperative Corporation,47159975000,221,2,2,0,0,0.9,0.9,0.0,0.0,False,False,False,False,{11},False,False,False
132,"Advantage Cellular Systems, Inc.",47159975000,221,1,1,1,1,0.45,0.45,0.45,0.45,False,False,False,False,{50},False,False,False
133,"COMCAST CABLE COMMUNICATIONS, LLC",47159975000,221,19,19,19,19,8.6,8.6,8.6,8.6,False,False,False,False,{43},False,False,False
134,North Central Communications,47169090100,307,12,12,12,12,3.91,3.91,3.91,3.91,False,False,False,False,{50},False,False,False
135,"North Central Telephone Cooperative, Inc.",47169090100,307,89,89,89,50,28.99,28.99,28.99,16.29,False,False,False,False,"{50, 10}",False,False,False
136,"TRI-COUNTY FIBER COMMUNICATIONS, LLC",47169090100,307,124,124,124,124,40.39,40.39,40.39,40.39,True,True,True,True,{50},False,False,False
137,"BellSouth Telecommunications, Inc.",47169090100,307,103,100,15,8,33.55,32.57,4.89,2.61,True,True,False,False,"{70, 10, 11, 12, 50}",False,False,False
138,UNITED STATES CELLULAR CORPORATION,47169090100,307,261,0,0,0,85.02,0.0,0.0,0.0,True,False,False,False,{70},False,False,False
139,"COMCAST CABLE COMMUNICATIONS, LLC",47169090100,307,47,47,47,47,15.31,15.31,15.31,15.31,False,False,False,False,{43},False,False,False
140,"Wisper II, LLC",47033961100,230,50,41,0,0,21.74,17.83,0.0,0.0,False,False,False,False,{70},False,False,False
141,"BellSouth Telecommunications, Inc.",47033961100,230,10,6,0,0,4.35,2.61,0.0,0.0,False,False,False,False,"{10, 11, 70}",False,False,False
142,Benton County Cable,47033961100,230,1,1,1,1,0.43,0.43,0.43,0.43,False,False,False,False,"{42, 70}",False,False,False
143,"Crockett Telephone Co., Inc.",47033961100,230,208,208,147,147,90.43,90.43,63.91,63.91,True,True,True,True,"{50, 11}",False,False,False
144,"Charter Communications, Inc.",47033961100,230,156,156,156,156,67.83,67.83,67.83,67.83,True,True,True,True,{43},False,False,False
145,"Wisper II, LLC",47033961000,102,34,27,0,0,33.33,26.47,0.0,0.0,True,False,False,False,{70},False,False,False
146,"BellSouth Telecommunications, Inc.",47033961000,102,59,49,1,1,57.84,48.04,0.98,0.98,True,True,False,False,"{10, 11}",False,False,False
147,"Crockett Telephone Co., Inc.",47033961000,102,22,22,17,17,21.57,21.57,16.67,16.67,False,False,False,False,"{50, 11}",False,False,False
148,INFOSTRUCTURE INC,47033961000,102,1,1,1,1,0.98,0.98,0.98,0.98,False,False,False,False,{42},False,False,False
149,"Charter Communications, Inc.",47033961000,102,46,46,46,46,45.1,45.1,45.1,45.1,True,True,True,True,{43},False,False,False
150,"Wisper II, LLC",47033961400,213,28,28,1,1,13.15,13.15,0.47,0.47,False,False,False,False,{70},False,False,False
151,"BellSouth Telecommunications, Inc.",47033961400,213,105,96,59,34,49.3,45.07,27.7,15.96,True,True,False,False,"{10, 11, 70}",False,False,False
152,"Aeneas Communications, LLC",47033961400,213,2,1,1,1,0.94,0.47,0.47,0.47,False,False,False,False,"{42, 30}",False,False,False
153,"Charter Communications, Inc.",47033961400,213,192,192,192,192,90.14,90.14,90.14,90.14,True,True,True,True,{43},False,False,False
154,"Wisper II, LLC",47097050300,124,20,19,0,0,16.13,15.32,0.0,0.0,False,False,False,False,{70},False,False,False
155,"BellSouth Telecommunications, Inc.",47097050300,124,104,76,18,14,83.87,61.29,14.52,11.29,True,True,False,False,"{10, 11, 12, 70}",False,False,False
156,"Aeneas Communications, LLC",47097050300,124,1,0,0,0,0.81,0.0,0.0,0.0,False,False,False,False,{30},False,False,False
157,"Charter Communications, Inc.",47097050300,124,95,95,95,95,76.61,76.61,76.61,76.61,True,True,True,True,{43},False,False,False
158,"Wisper II, LLC",47033961300,161,29,19,0,0,18.01,11.8,0.0,0.0,False,False,False,False,{70},False,False,False
159,"BellSouth Telecommunications, Inc.",47033961300,161,8,8,0,0,4.97,4.97,0.0,0.0,False,False,False,False,"{10, 70}",False,False,False
160,"ECSIS.NET, LLC DBA Electronic Communication Systems",47033961300,161,3,3,3,0,1.86,1.86,1.86,0.0,False,False,False,False,{70},False,False,False
161,"Crockett Telephone Co., Inc.",47033961300,161,155,155,95,95,96.27,96.27,59.01,59.01,True,True,True,True,{11},False,False,False
162,"Charter Communications, Inc.",47033961300,161,39,39,39,39,24.22,24.22,24.22,24.22,False,False,False,False,{43},False,False,False
163,"Wisper II, LLC",47075930100,153,89,73,0,0,58.17,47.71,0.0,0.0,True,True,False,False,{70},False,False,False
164,"BellSouth Telecommunications, Inc.",47075930100,153,105,101,4,4,68.63,66.01,2.61,2.61,True,True,False,False,"{10, 11, 70}",False,False,False
165,"Crockett Telephone Co., Inc.",47075930100,153,14,14,5,5,9.15,9.15,3.27,3.27,False,False,False,False,{11},False,False,False
166,"Aeneas Communications, LLC",47075930100,153,1,0,0,0,0.65,0.0,0.0,0.0,False,False,False,False,{30},False,False,False
167,"Charter Communications, Inc.",47075930100,153,11,11,11,11,7.19,7.19,7.19,7.19,False,False,False,False,{43},False,False,False
168,"Wisper II, LLC",47075930200,107,47,36,0,0,43.93,33.64,0.0,0.0,True,True,False,False,{70},False,False,False
169,"BellSouth Telecommunications, Inc.",47075930200,107,82,81,14,8,76.64,75.7,13.08,7.48,True,True,False,False,"{10, 11, 12, 70}",False,False,False
170,"ECSIS.NET, LLC DBA Electronic Communication Systems",47075930200,107,10,10,10,0,9.35,9.35,9.35,0.0,False,False,False,False,{11},False,False,False
171,"Aeneas Communications, LLC",47075930200,107,1,1,1,1,0.93,0.93,0.93,0.93,False,False,False,False,{50},False,False,False
172,"Wisper II, LLC",47075930301,134,18,14,0,0,13.43,10.45,0.0,0.0,False,False,False,False,{70},False,False,False
173,"BellSouth Telecommunications, Inc.",47075930301,134,112,109,72,22,83.58,81.34,53.73,16.42,True,True,True,False,"{10, 11, 70}",False,False,False
174,"Aeneas Communications, LLC",47075930301,134,11,10,9,9,8.21,7.46,6.72,6.72,False,False,False,False,"{50, 11}",False,False,False
175,"Charter Communications, Inc.",47075930301,134,111,111,111,111,82.84,82.84,82.84,82.84,True,True,True,True,{43},False,False,False
176,"Wisper II, LLC",47097050200,235,12,10,0,0,5.11,4.26,0.0,0.0,False,False,False,False,{70},False,False,False
177,"BellSouth Telecommunications, Inc.",47097050200,235,153,151,72,47,65.11,64.26,30.64,20.0,True,True,True,False,"{10, 11, 70}",False,False,False
178,"ECSIS.NET, LLC DBA Electronic Communication Systems",47097050200,235,228,228,228,0,97.02,97.02,97.02,0.0,True,True,True,False,{70},False,False,False
179,"Forked Deer Connect, LLC",47097050200,235,16,16,16,16,6.81,6.81,6.81,6.81,False,False,False,False,{50},False,False,False
180,"Charter Communications, Inc.",47097050200,235,89,89,89,89,37.87,37.87,37.87,37.87,True,True,True,True,{43},False,False,False
181,"Wisper II, LLC",47045964600,218,29,17,0,0,13.3,7.8,0.0,0.0,False,False,False,False,{70},False,False,False
182,"BellSouth Telecommunications, Inc.",47045964600,218,109,107,47,42,50.0,49.08,21.56,19.27,True,True,False,False,"{10, 11, 12, 70}",False,False,False
183,"ECSIS.NET, LLC DBA Electronic Communication Systems",47045964600,218,218,218,218,0,100.0,100.0,100.0,0.0,True,True,True,False,"{11, 70}",False,False,False
184,"Cable One, Inc.",47045964600,218,63,63,63,63,28.9,28.9,28.9,28.9,False,False,False,False,{42},False,False,False
185,"Crockett Telephone Co., Inc.",47045964600,218,58,58,29,29,26.61,26.61,13.3,13.3,False,False,False,False,"{50, 11}",False,False,False
186,"Aeneas Communications, LLC",47045964600,218,1,1,0,0,0.46,0.46,0.0,0.0,False,False,False,False,{11},False,False,False
187,"Wisper II, LLC",47033961200,194,26,18,0,0,13.4,9.28,0.0,0.0,False,False,False,False,{70},False,False,False
188,"BellSouth Telecommunications, Inc.",47033961200,194,47,47,0,0,24.23,24.23,0.0,0.0,False,False,False,False,{70},False,False,False
189,"ECSIS.NET, LLC DBA Electronic Communication Systems",47033961200,194,60,60,60,0,30.93,30.93,30.93,0.0,True,True,True,False,{70},False,False,False
190,"Cable One, Inc.",47033961200,194,30,30,30,30,15.46,15.46,15.46,15.46,False,False,False,False,{42},False,False,False
191,"Crockett Telephone Co., Inc.",47033961200,194,194,194,108,108,100.0,100.0,55.67,55.67,True,True,True,True,{11},False,False,False
192,"COMCAST CABLE COMMUNICATIONS, LLC",47033961200,194,1,1,1,1,0.52,0.52,0.52,0.52,False,False,False,False,{43},False,False,False
193,"Charter Communications, Inc.",47033961200,194,6,6,6,6,3.09,3.09,3.09,3.09,False,False,False,False,{43},False,False,False
194,"Wisper II, LLC",47045964000,397,5,4,0,0,1.26,1.01,0.0,0.0,False,False,False,False,{70},False,False,False
195,"BellSouth Telecommunications, Inc.",47045964000,397,200,188,94,21,50.38,47.36,23.68,5.29,True,True,False,False,"{10, 11, 12, 70}",False,False,False
196,"ECSIS.NET, LLC DBA Electronic Communication Systems",47045964000,397,397,397,397,0,100.0,100.0,100.0,0.0,True,True,True,False,"{11, 70}",False,False,False
197,"Cable One, Inc.",47045964000,397,3,3,3,3,0.76,0.76,0.76,0.76,False,False,False,False,{42},False,False,False
