,TractCode,ProviderName,CountBlocks,TechCode,Business,Proportion Served,Substantially Served
0,47001020100,"Birch Communications, Inc.",91,10,2,2.2,False
1,47001020100,"COMCAST CABLE COMMUNICATIONS, LLC",91,42,2,2.2,False
2,47001020100,"COMCAST CABLE COMMUNICATIONS, LLC",91,43,70,76.92,True
3,47001020100,"EarthLink Business, LLC",91,10,4,4.4,False
4,47001020100,"EarthLink Business, LLC",91,30,1,1.1,False
5,47001020100,"EarthLink Business, LLC",91,50,2,2.2,False
6,47001020100,MCI Communications Corporation,91,30,1,1.1,False
7,47001020100,"NuVox, Inc.",91,30,2,2.2,False
8,47001020100,"NuVox, Inc.",91,50,2,2.2,False
9,47001020100,US LEC LLC,91,50,2,2.2,False
10,47001020100,"XO Communications Services, LLC",91,30,1,1.1,False
11,47001020201,"Birch Communications, Inc.",77,30,1,1.3,False
12,47001020201,"COMCAST CABLE COMMUNICATIONS, LLC",77,43,39,50.65,True
13,47001020201,"EarthLink Business, LLC",77,10,1,1.3,False
14,47001020201,"EarthLink Business, LLC",77,50,1,1.3,False
15,47001020201,"Level  3 Communications, LLC",77,50,1,1.3,False
16,47001020201,MCI Communications Corporation,77,30,4,5.19,False
17,47001020201,"NuVox, Inc.",77,30,2,2.6,False
18,47001020201,US LEC LLC,77,11,2,2.6,False
19,47001020202,"Birch Communications, Inc.",127,30,1,0.79,False
20,47001020202,"COMCAST CABLE COMMUNICATIONS, LLC",127,42,1,0.79,False
21,47001020202,"COMCAST CABLE COMMUNICATIONS, LLC",127,43,87,68.5,True
22,47001020202,"EarthLink Business, LLC",127,10,2,1.57,False
23,47001020202,"EarthLink Business, LLC",127,50,1,0.79,False
24,47001020202,"Level  3 Communications, LLC",127,30,1,0.79,False
25,47001020202,MCI Communications Corporation,127,30,3,2.36,False
26,47001020202,"NuVox, Inc.",127,30,5,3.94,False
27,47001020202,"NuVox, Inc.",127,50,2,1.57,False
28,47001020300,"Birch Communications, Inc.",50,10,1,2.0,False
29,47001020300,"COMCAST CABLE COMMUNICATIONS, LLC",50,43,48,96.0,True
30,47001020400,"Birch Communications, Inc.",94,30,1,1.06,False
31,47001020400,"COMCAST CABLE COMMUNICATIONS, LLC",94,42,1,1.06,False
32,47001020400,"COMCAST CABLE COMMUNICATIONS, LLC",94,43,83,88.3,True
33,47001020400,"EarthLink Business, LLC",94,10,3,3.19,False
34,47001020400,"EarthLink Business, LLC",94,30,2,2.13,False
35,47001020400,"EarthLink Business, LLC",94,50,1,1.06,False
36,47001020400,"NuVox, Inc.",94,30,3,3.19,False
37,47001020400,"NuVox, Inc.",94,50,1,1.06,False
38,47001020400,US LEC LLC,94,11,2,2.13,False
39,47001020500,"COMCAST CABLE COMMUNICATIONS, LLC",85,42,1,1.18,False
40,47001020500,"COMCAST CABLE COMMUNICATIONS, LLC",85,43,60,70.59,True
41,47001020500,"EarthLink Business, LLC",85,10,1,1.18,False
42,47001020500,"Level  3 Communications, LLC",85,30,1,1.18,False
43,47001020500,"NuVox, Inc.",85,30,1,1.18,False
44,47001020600,"COMCAST CABLE COMMUNICATIONS, LLC",44,43,44,100.0,True
45,47001020700,"COMCAST CABLE COMMUNICATIONS, LLC",298,42,1,0.34,False
46,47001020700,"COMCAST CABLE COMMUNICATIONS, LLC",298,43,58,19.46,True
47,47001020700,"HIGHLAND TELEPHONE COOPERATIVE, INC.",298,50,203,68.12,True
48,47001020700,US LEC LLC,298,11,2,0.67,False
49,47001020800,"COMCAST CABLE COMMUNICATIONS, LLC",245,42,98,40.0,True
50,47001020800,"COMCAST CABLE COMMUNICATIONS, LLC",245,43,98,40.0,True
51,47001020800,"EarthLink Business, LLC",245,10,2,0.82,False
52,47001020800,US LEC LLC,245,11,2,0.82,False
53,47001020901,"COMCAST CABLE COMMUNICATIONS, LLC",231,43,113,48.92,True
54,47001020901,"EarthLink Business, LLC",231,10,1,0.43,False
55,47001020901,"EarthLink Carrier, LLC",231,30,1,0.43,False
56,47001020901,"Level  3 Communications, LLC",231,30,1,0.43,False
57,47001020902,"Birch Communications, Inc.",255,10,1,0.39,False
58,47001020902,"COMCAST CABLE COMMUNICATIONS, LLC",255,42,1,0.39,False
