,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set
0,Jackson Energy Authority,47113001300,223,142,142,142,142,63.68,63.68,63.68,63.68,True,True,True,True,{50}
1,"Wisper II, LLC",47113001300,223,1,1,0,0,0.45,0.45,0.0,0.0,False,False,False,False,{70}
2,"BellSouth Telecommunications, Inc.",47113001300,223,124,121,44,19,55.61,54.26,19.73,8.52,True,True,True,False,"{10, 11, 50, 70}"
3,"Aeneas Communications, LLC",47113001300,223,10,10,10,10,4.48,4.48,4.48,4.48,False,False,False,False,"{50, 30}"
4,"Charter Communications, Inc.",47113001300,223,218,218,218,218,97.76,97.76,97.76,97.76,True,True,True,True,{43}
5,Jackson Energy Authority,47113001604,78,43,43,43,43,55.13,55.13,55.13,55.13,True,True,True,True,{50}
6,"BellSouth Telecommunications, Inc.",47113001604,78,43,42,30,29,55.13,53.85,38.46,37.18,True,True,True,True,"{10, 11, 50}"
7,"Aeneas Communications, LLC",47113001604,78,9,7,7,7,11.54,8.97,8.97,8.97,False,False,False,False,"{50, 11, 42}"
8,"COMCAST CABLE COMMUNICATIONS, LLC",47113001604,78,2,2,2,2,2.56,2.56,2.56,2.56,False,False,False,False,{43}
9,"Charter Communications, Inc.",47113001604,78,77,77,77,77,98.72,98.72,98.72,98.72,True,True,True,True,{43}
10,Jackson Energy Authority,47113000400,61,47,47,47,47,77.05,77.05,77.05,77.05,True,True,True,True,{50}
11,"BellSouth Telecommunications, Inc.",47113000400,61,51,45,20,2,83.61,73.77,32.79,3.28,True,True,True,False,"{10, 11, 50}"
12,"Aeneas Communications, LLC",47113000400,61,10,10,8,8,16.39,16.39,13.11,13.11,True,True,False,False,"{50, 11, 30}"
13,"Charter Communications, Inc.",47113000400,61,59,59,59,59,96.72,96.72,96.72,96.72,True,True,True,True,{43}
14,Jackson Energy Authority,47113000900,105,70,70,70,70,66.67,66.67,66.67,66.67,True,True,True,True,{50}
15,"BellSouth Telecommunications, Inc.",47113000900,105,86,83,76,0,81.9,79.05,72.38,0.0,True,True,True,False,"{10, 11}"
16,"Aeneas Communications, LLC",47113000900,105,1,1,0,0,0.95,0.95,0.0,0.0,False,False,False,False,{11}
17,"Charter Communications, Inc.",47113000900,105,105,105,105,105,100.0,100.0,100.0,100.0,True,True,True,True,{43}
18,Jackson Energy Authority,47113000500,75,48,48,48,48,64.0,64.0,64.0,64.0,True,True,True,True,{50}
19,"BellSouth Telecommunications, Inc.",47113000500,75,55,35,11,0,73.33,46.67,14.67,0.0,True,True,False,False,"{10, 11}"
20,"Aeneas Communications, LLC",47113000500,75,4,4,4,4,5.33,5.33,5.33,5.33,False,False,False,False,{50}
21,"Charter Communications, Inc.",47113000500,75,75,75,75,75,100.0,100.0,100.0,100.0,True,True,True,True,{43}
22,Jackson Energy Authority,47113000600,68,64,64,64,64,94.12,94.12,94.12,94.12,True,True,True,True,{50}
23,"BellSouth Telecommunications, Inc.",47113000600,68,67,66,4,2,98.53,97.06,5.88,2.94,True,True,False,False,"{10, 11, 50}"
24,"Aeneas Communications, LLC",47113000600,68,4,3,2,2,5.88,4.41,2.94,2.94,False,False,False,False,"{50, 11}"
25,"Charter Communications, Inc.",47113000600,68,68,68,68,68,100.0,100.0,100.0,100.0,True,True,True,True,{43}
26,Jackson Energy Authority,47113001610,116,69,69,69,69,59.48,59.48,59.48,59.48,True,True,True,True,{50}
27,"Wisper II, LLC",47113001610,116,2,1,0,0,1.72,0.86,0.0,0.0,False,False,False,False,{70}
28,"BellSouth Telecommunications, Inc.",47113001610,116,70,70,43,38,60.34,60.34,37.07,32.76,True,True,True,True,"{10, 11, 50}"
29,"Aeneas Communications, LLC",47113001610,116,12,12,12,12,10.34,10.34,10.34,10.34,False,False,False,False,{50}
30,"Charter Communications, Inc.",47113001610,116,112,112,112,112,96.55,96.55,96.55,96.55,True,True,True,True,{43}
31,Jackson Energy Authority,47113001605,106,27,27,27,27,25.47,25.47,25.47,25.47,True,True,True,True,{50}
32,"BellSouth Telecommunications, Inc.",47113001605,106,39,39,15,15,36.79,36.79,14.15,14.15,True,True,False,False,"{10, 11, 50}"
33,"Aeneas Communications, LLC",47113001605,106,6,6,6,6,5.66,5.66,5.66,5.66,False,False,False,False,{50}
34,"Charter Communications, Inc.",47113001605,106,106,106,106,106,100.0,100.0,100.0,100.0,True,True,True,True,{43}
35,Jackson Energy Authority,47113001402,126,44,44,44,44,34.92,34.92,34.92,34.92,True,True,True,True,{50}
36,"BellSouth Telecommunications, Inc.",47113001402,126,75,64,25,0,59.52,50.79,19.84,0.0,True,True,True,False,"{10, 11}"
37,"Aeneas Communications, LLC",47113001402,126,1,1,1,1,0.79,0.79,0.79,0.79,False,False,False,False,{50}
38,"Charter Communications, Inc.",47113001402,126,124,124,124,124,98.41,98.41,98.41,98.41,True,True,True,True,{43}
39,Jackson Energy Authority,47113001603,37,21,21,21,21,56.76,56.76,56.76,56.76,True,True,True,True,{50}
40,"Wisper II, LLC",47113001603,37,1,1,0,0,2.7,2.7,0.0,0.0,False,False,False,False,{70}
41,"BellSouth Telecommunications, Inc.",47113001603,37,23,23,22,15,62.16,62.16,59.46,40.54,True,True,True,True,"{10, 11, 50}"
42,"Aeneas Communications, LLC",47113001603,37,4,4,4,4,10.81,10.81,10.81,10.81,False,False,False,False,"{50, 11}"
43,"Charter Communications, Inc.",47113001603,37,36,36,36,36,97.3,97.3,97.3,97.3,True,True,True,True,{43}
44,Jackson Energy Authority,47113001501,137,56,56,56,56,40.88,40.88,40.88,40.88,True,True,True,True,{50}
45,"BellSouth Telecommunications, Inc.",47113001501,137,93,93,56,37,67.88,67.88,40.88,27.01,True,True,True,True,"{10, 11, 50}"
46,"Aeneas Communications, LLC",47113001501,137,3,3,3,3,2.19,2.19,2.19,2.19,False,False,False,False,{50}
47,"Charter Communications, Inc.",47113001501,137,135,135,135,135,98.54,98.54,98.54,98.54,True,True,True,True,{43}
48,Jackson Energy Authority,47113001607,90,51,51,51,51,56.67,56.67,56.67,56.67,True,True,True,True,{50}
49,"BellSouth Telecommunications, Inc.",47113001607,90,58,57,48,42,64.44,63.33,53.33,46.67,True,True,True,True,"{10, 11, 50}"
50,"Aeneas Communications, LLC",47113001607,90,8,8,8,8,8.89,8.89,8.89,8.89,False,False,False,False,"{50, 30}"
51,"Charter Communications, Inc.",47113001607,90,89,89,89,89,98.89,98.89,98.89,98.89,True,True,True,True,{43}
52,Jackson Energy Authority,47113001606,143,83,83,83,83,58.04,58.04,58.04,58.04,True,True,True,True,{50}
53,"BellSouth Telecommunications, Inc.",47113001606,143,90,90,63,58,62.94,62.94,44.06,40.56,True,True,True,True,"{10, 11, 50}"
54,"Aeneas Communications, LLC",47113001606,143,15,15,15,15,10.49,10.49,10.49,10.49,False,False,False,False,"{50, 42}"
55,"Charter Communications, Inc.",47113001606,143,140,140,140,140,97.9,97.9,97.9,97.9,True,True,True,True,{43}
56,Jackson Energy Authority,47113000200,202,73,73,73,73,36.14,36.14,36.14,36.14,True,True,True,True,{50}
57,"BellSouth Telecommunications, Inc.",47113000200,202,102,98,63,24,50.5,48.51,31.19,11.88,True,True,True,False,"{10, 11, 50}"
58,"Aeneas Communications, LLC",47113000200,202,19,15,12,12,9.41,7.43,5.94,5.94,False,False,False,False,"{50, 11}"
59,"Charter Communications, Inc.",47113000200,202,202,202,202,202,100.0,100.0,100.0,100.0,True,True,True,True,{43}
60,Jackson Energy Authority,47113000100,93,49,49,49,49,52.69,52.69,52.69,52.69,True,True,True,True,{50}
61,"BellSouth Telecommunications, Inc.",47113000100,93,37,31,21,19,39.78,33.33,22.58,20.43,True,True,True,True,"{10, 11, 50}"
62,"Aeneas Communications, LLC",47113000100,93,12,12,12,12,12.9,12.9,12.9,12.9,False,False,False,False,"{50, 11, 42}"
63,"Charter Communications, Inc.",47113000100,93,93,93,93,93,100.0,100.0,100.0,100.0,True,True,True,True,{43}
64,Jackson Energy Authority,47113000300,141,77,77,77,77,54.61,54.61,54.61,54.61,True,True,True,True,{50}
65,"BellSouth Telecommunications, Inc.",47113000300,141,83,76,42,36,58.87,53.9,29.79,25.53,True,True,True,True,"{10, 11, 50}"
66,"Aeneas Communications, LLC",47113000300,141,19,17,13,13,13.48,12.06,9.22,9.22,False,False,False,False,"{50, 11, 42}"
67,"Charter Communications, Inc.",47113000300,141,141,141,141,141,100.0,100.0,100.0,100.0,True,True,True,True,{43}
68,Jackson Energy Authority,47113001609,112,24,24,24,24,21.43,21.43,21.43,21.43,True,True,True,True,{50}
69,"Wisper II, LLC",47113001609,112,11,10,0,0,9.82,8.93,0.0,0.0,False,False,False,False,{70}
70,"BellSouth Telecommunications, Inc.",47113001609,112,52,45,14,14,46.43,40.18,12.5,12.5,True,True,False,False,"{10, 11, 50}"
71,"COMCAST CABLE COMMUNICATIONS, LLC",47113001609,112,1,1,1,1,0.89,0.89,0.89,0.89,False,False,False,False,{43}
72,"Charter Communications, Inc.",47113001609,112,85,85,85,85,75.89,75.89,75.89,75.89,True,True,True,True,{43}
73,Jackson Energy Authority,47113001700,91,14,14,14,14,15.38,15.38,15.38,15.38,True,True,True,True,{50}
74,"Wisper II, LLC",47113001700,91,26,23,0,0,28.57,25.27,0.0,0.0,True,True,False,False,{70}
75,"BellSouth Telecommunications, Inc.",47113001700,91,83,82,1,0,91.21,90.11,1.1,0.0,True,True,False,False,"{10, 11, 70}"
76,"Aeneas Communications, LLC",47113001700,91,3,2,2,2,3.3,2.2,2.2,2.2,False,False,False,False,"{50, 30}"
77,"Charter Communications, Inc.",47113001700,91,12,12,12,12,13.19,13.19,13.19,13.19,False,False,False,False,{43}
78,Jackson Energy Authority,47113001401,91,48,48,48,48,52.75,52.75,52.75,52.75,True,True,True,True,{50}
79,"BellSouth Telecommunications, Inc.",47113001401,91,39,29,9,0,42.86,31.87,9.89,0.0,True,True,False,False,"{10, 11}"
80,"Aeneas Communications, LLC",47113001401,91,7,5,5,5,7.69,5.49,5.49,5.49,False,False,False,False,"{50, 11, 30}"
81,"Charter Communications, Inc.",47113001401,91,90,90,90,90,98.9,98.9,98.9,98.9,True,True,True,True,{43}
82,Jackson Energy Authority,47113001800,141,36,36,36,36,25.53,25.53,25.53,25.53,True,True,True,True,{50}
83,"Wisper II, LLC",47113001800,141,18,16,0,0,12.77,11.35,0.0,0.0,False,False,False,False,{70}
84,"BellSouth Telecommunications, Inc.",47113001800,141,118,116,35,28,83.69,82.27,24.82,19.86,True,True,True,True,"{10, 11, 70}"
85,"Aeneas Communications, LLC",47113001800,141,3,3,3,3,2.13,2.13,2.13,2.13,False,False,False,False,{50}
86,"Charter Communications, Inc.",47113001800,141,16,16,16,16,11.35,11.35,11.35,11.35,False,False,False,False,{43}
87,Jackson Energy Authority,47113000700,96,77,77,77,77,80.21,80.21,80.21,80.21,True,True,True,True,{50}
88,"BellSouth Telecommunications, Inc.",47113000700,96,90,89,77,5,93.75,92.71,80.21,5.21,True,True,True,False,"{10, 11, 50}"
89,"Aeneas Communications, LLC",47113000700,96,11,8,2,2,11.46,8.33,2.08,2.08,False,False,False,False,"{50, 11}"
90,"COMCAST CABLE COMMUNICATIONS, LLC",47113000700,96,1,1,1,1,1.04,1.04,1.04,1.04,False,False,False,False,{43}
91,"Charter Communications, Inc.",47113000700,96,95,95,95,95,98.96,98.96,98.96,98.96,True,True,True,True,{43}
92,Jackson Energy Authority,47113001000,45,37,37,37,37,82.22,82.22,82.22,82.22,True,True,True,True,{50}
93,"BellSouth Telecommunications, Inc.",47113001000,45,42,29,1,0,93.33,64.44,2.22,0.0,True,True,False,False,"{10, 11}"
94,"Aeneas Communications, LLC",47113001000,45,4,4,4,4,8.89,8.89,8.89,8.89,False,False,False,False,{50}
95,"Charter Communications, Inc.",47113001000,45,45,45,45,45,100.0,100.0,100.0,100.0,True,True,True,True,{43}
96,Jackson Energy Authority,47113000800,173,91,91,91,91,52.6,52.6,52.6,52.6,True,True,True,True,{50}
